,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,8,,,,,,,,,,,,,,,,,,,26
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,124,67,71,15,15,129,15,12,186,1,,,,,202,218,202,,,,,3,6,,,,,,,,,,2,3,5,,,,1421
,South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,12,19,,100,,,,,,,,,,35,28,24,40,267
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,12,13,20,,0,1,2,18,18,27,23,4,,139
,Sri Lanka,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,,,,,,,5,75,12,12,50,134,35,30,18,18,30,18,19,,,,11,,,,,520
,Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,7,,,,,,,14
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,6
,Taiwan (ROC),,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,38,108,108,108,108,108,118,28,28,28,28,28,14,,,,,,,,8,,,,,,,,,,,,,,,,860
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,37,8,4,,,4,4,4,,,,,,27,,4,,,,,,5,,2,,,1,,,7,7,,,,,,0,,,3,5,121
,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,94,48,10,3,6,99,97,320,69,22,9,,17,15,854
,Uganda,,,,,,,,,,,,,,,2,,1,0,10,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,4,,,,7,,,,,,,52
,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,75,16,,8,11,31,20,20,20,203
,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,64,1,1,1,21,50,75,15,35,15,33,41,,77,148,109,92,88,53,30,16,5,8,9,15,25,35,35,35,1188
,Unknown country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,,,,,12,,5,5,,14,3,41,81
,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,14
,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,25,4,,,19,,,,,7,3,20,,,,,,4,,,,,25,,9,5,5,,,,,,,,,,126
,Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,38,22,32,16,32,26,9,2,184
,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
