,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Jamaica,,,,,,,,,,,,,,,,,,3,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,5
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,4
,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,8
,Kenya,,,,,,,,,,,,,,,1,15,3,,,,,,8,,,,,40,40,,,,,,,,26,26,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,186
,Kuwait,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,8
,Lebanon,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,60,10,,142
,Malaysia,,,,,,,,,,,,,,,,,15,19,19,50,11,,15,,,,,,,,,,1,13,12,,,,,,,,,,,,,,,,,5,,,,,,6,,,,,,,,,168
,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,29
,Mexico,,,,,,,,,,,,17,,,,,,,,,,,,,,,6,,,1,50,11,5,5,,,16,13,4,4,3,2,1,,,,,,,,,,9,,,,1,,,4,4,12,4,,20,13,205
,Morocco,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,,,,32
,Myanmar,,0,0,,1,,,,,2,2,2,,,,,,,,,,,,,,,,,,7,2,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,21
,Netherlands,,,,,,,3,,,,,41,,,,,,,,,,,,,,,,,5,5,10,10,10,10,,,,,,6,,,,,,12,38,2,,,,,,,,,,,,,,,,,,,152
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,,,,4,2,37
,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,11
,North Yemen,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Norway,,,,,,6,57,,,,,,,,,,,13,,,,,,49,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179
,Oman,,,,,,,,,,,,,,,,,,,,,11,,,8,,,,,,13,,13,,13,,,,,,,,,,,,,,,,,6,1,,,,,,,4,,,,,4,4,6,84
,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,18,26
,Panama,,,,,,,,,,,,,,,,,,,,,3,,,3,,3,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Peru,2,,,,,,,,,,,,,,,1,8,,,,,116,116,8,,,,3,3,,,,,,,,5,27,,,,6,,,,,,,,,,,,,,,,,,,,3,5,10,15,5,329
,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,6,21
,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,6,,4,4,,,,6,4,2,2,38
