,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Nepal,,,,,,,,,,,,,,,,2,,,,,3,3,3,,,9,,,,,,1,,,3,1,,,,,,,,,,1,,,,,,,,,0,,,,,,,,,,,,24
,Netherlands,96,123,123,343,340,467,629,304,242,83,47,,,,12,,,626,129,6,9,9,3,,,15,15,15,23,75,90,64,27,33,,,30,,,,0,22,10,20,20,13,3,,,,,,10,10,10,10,1,,,,,,,,,,4104
,New Zealand,41,63,122,13,,36,148,90,58,,111,111,,5,,9,168,,,,,125,14,13,0,42,5,34,,,,,62,95,,1,0,5,5,5,2,2,2,2,,,,,,,,,,,,10,,,,,,,,,,,1398
,Nigeria,,,,,,,,,,5,,1,8,1,2,1,8,3,7,1,,,61,4,12,,,35,58,24,98,5,30,19,156,204,48,,,,,,40,33,29,,,,,,,,,,,,,,,,,,,,,,894
,North Yemen,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Norway,153,,58,7,,,,,,,,,,,,,,,,,,,68,,,,12,,7,,,35,20,16,16,14,,,,,,,7,,,,7,26,13,,65,,,,,,,,,,,40,40,,,,602
,Oman,,,,,,,,,,1,1,,,1,1,1,,7,5,36,15,35,3,57,36,70,150,250,78,25,,11,107,246,78,70,16,,13,87,11,,,10,119,218,142,105,9,,98,14,19,3,25,25,,,,,,,,289,145,,2631
,Pakistan,159,169,145,95,92,60,135,147,185,,,,,,,28,,3,28,29,,,,,60,,,,,,,,198,,,,,,105,3,1,1,,184,376,,,,,,,,,,,,,,1,,,,,1,,,2203
,Panama,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1
,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Peru,,24,,,,,101,29,,131,119,,,,12,24,10,10,,34,,4,,198,,11,11,13,9,,,2,4,,,,,1,,,,,,,,16,,,,,,,,,,,,,,,,,,4,4,,768
,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,34,1,2,5,9,4,,,,,,,,,,,2,3,13,11,40,,,,,,,,,,3,,,,,,,,,130
,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,10
,Portugal,,5,,,,24,26,9,2,26,2,31,4,4,2,21,,,,,,,,,5,14,,,,,,,,4,,,,,,5,5,,,86,,5,,,10,2,,,,,,,,,,,,,,,,,291
,Qatar,,,,,,,,,,,,,,,,,,,2,3,6,16,,,,38,26,,,,,,20,82,76,2,2,,,,,,,,,,97,33,7,3,,,,,,,,,,,,,,,,,411
